17/12/2021                         	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
ITX FX 2032 (New)                  	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
TB                                 	Schedule   	Real       	Type           	Duration   	Comments	Offset     	^	SOD\EOD Overrun\Underrun	PR	Comments	Product                               	Version                     	Total Avail Used                     	Media Item    	Video Source            	Event Control 
>>                                 	           	07:00:00.00	Start of Day   	00:00:00.00	        	00:00:00.00	 	                        	0 	        	                                      	Previous Day by: 00:00:00.00	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	              
                                   	07:00:00.00	07:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	07:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	              
->                                 	           	07:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	07:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Hard Start    
                                   	           	07:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	07:58:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77426701   	0 	        	LMP - GEN 21 B                        	Alta 6 - 77426701           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077426701	iTX                     	Manual Trigger
                                   	           	07:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76949201   	0 	        	SKY MKT - RegServ En Lines            	Baja 2 - 76949201           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076949201	iTX                     	Auto Play     
                                   	           	07:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6              	0 	        	Sky Sports - Bundesliga 2 Gen         	Alta 6                      	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077440401	iTX                     	Auto Play     
                                   	           	07:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77426701   	0 	        	LMP - GEN 21 B                        	Alta 6 - 77426701           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077426701	iTX                     	Auto Play     
                                   	08:00:00.00	08:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	08:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	08:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	08:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	08:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	08:58:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77335401   	0 	        	SKY PROG - BTG 2021                   	Alta 6 - 77335401           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077335401	iTX                     	Manual Trigger
                                   	           	08:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76999701   	0 	        	SKY MKT - C 670                       	Baja 2 - 76999701           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076999701	iTX                     	Auto Play     
                                   	           	08:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	           	08:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Media 3 - 77342201  	0 	        	SKY MKT - Fin de Verano               	Media 3 - 77342201          	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077342201	iTX                     	Auto Play     
                                   	09:00:00.00	09:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	09:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	09:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	09:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	09:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	09:58:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76949201   	0 	        	SKY MKT - RegServ En Lines            	Baja 2 - 76949201           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076949201	iTX                     	Manual Trigger
                                   	           	09:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	           	09:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77340601   	0 	        	SKY MKT - Lealtad Sky Sports NV jun 21	Alta 6 - 77340601           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077340601	iTX                     	Auto Play     
                                   	           	09:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	10:00:00.00	10:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	10:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	10:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	10:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	10:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	10:58:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6              	0 	        	Sky Sports - Bundesliga 2 Gen         	Alta 6                      	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077440401	iTX                     	Manual Trigger
                                   	           	10:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77380001   	0 	        	Bundesliga 21 - Gen V2                	Alta 6 - 77380001           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077380001	iTX                     	Auto Play     
                                   	           	10:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76999701   	0 	        	SKY MKT - C 670                       	Baja 2 - 76999701           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076999701	iTX                     	Auto Play     
                                   	           	10:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77353301   	0 	        	SKY MKT - Señor Control               	Alta 6 - 77353301           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077353301	iTX                     	Auto Play     
                                   	11:00:00.00	11:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	11:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	11:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	11:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	11:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	11:58:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6              	0 	        	Sky Sports - Bundesliga 2 Gen         	Alta 6                      	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077440401	iTX                     	Manual Trigger
